start,end,length_days,max_lsi,mean_lsi,rank
2014-12-12,2015-01-17,37,99.82367750059055,98.38255832428405,1
2024-06-08,2024-09-22,107,99.80254089793408,98.97698654297058,2
2016-08-06,2016-08-22,17,99.1240376749308,96.73319101775586,3
2016-02-04,2016-02-15,12,98.4758226418238,95.9810830421664,4
2015-12-11,2016-01-17,38,98.44243732872073,96.70965301569717,5
2018-06-02,2018-06-16,15,98.17908807315484,96.25609208217914,6
2023-09-21,2023-10-01,11,98.0648135308623,95.35487811617676,7
2018-06-22,2018-07-02,11,97.38412356253701,94.52924989636972,8
2024-10-18,2024-11-16,30,97.37030375133094,94.69332247437747,9
2021-07-20,2021-08-11,23,97.01944509013668,93.47862603742779,10
2022-03-04,2022-03-18,15,96.21740843651774,93.74480260567165,11
2017-12-14,2018-01-14,32,96.0781578217626,93.17781796161938,12
2016-06-05,2016-06-11,7,95.88028904730518,93.88108414920042,13
2015-02-06,2015-02-18,13,95.87441168202409,93.60197691754898,14
2020-12-16,2021-01-16,32,95.55194618101285,92.97766101341983,15
2021-12-06,2021-12-18,13,95.49583292234337,94.25053169927764,16
2018-05-21,2018-05-26,6,95.31309286324668,93.43632197851475,17
2023-10-22,2023-10-28,7,94.9131760825682,93.33771838295868,18
2023-04-09,2023-04-15,7,94.6878145814211,93.14735538383741,19
2015-08-05,2015-08-15,11,94.0678614531067,92.5586319925216,20
2015-09-07,2015-09-11,5,93.75149526902283,92.43709575645671,21
2024-12-11,2024-12-29,19,93.34457931650854,91.73841834647801,22
2016-04-09,2016-04-14,6,93.22625039170197,91.97239606533655,23
2019-05-04,2019-05-13,10,92.50882268694897,91.34656654786292,24
2018-12-11,2018-12-28,18,92.12639473527067,90.25832599274385,25
