term,component,contribution,share
M1,var,10.245819881060065,0.48228213795577923
M1×M3,cov,1.4265157127380228,0.06714768127425103
M2,var,1.2324623044958036,0.05801337150781971
M3,var,1.1748104737138758,0.055299635708308835
M1×M4,cov,1.1745242532460836,0.05528616299253441
M3×M4,cov,1.006955216217887,0.047398502037012284
M2×M3,cov,0.9617220896013412,0.045269328455561905
M1×M2,cov,0.9347435276614264,0.0439994175375097
M2×M4,cov,0.7417443735886886,0.03491473268745488
M4,var,0.4914114603913666,0.02313128402458304
M3×M5,cov,0.487432703288641,0.022943999502291527
M2×M5,cov,0.381639064781445,0.017964175266293694
M4×M5,cov,0.38122915824145076,0.01794488050952797
M1×M5,cov,0.37884144406884623,0.017832488147632195
M5,var,0.22460064958745432,0.010572202393439601
