period_start,avg_period_anchor,avg_period_calendar_days,actual_balances_blnrub,required_avg_blnrub,required_account_blnrub,spread_blnrub,banks_with_avg_right,banks_active,reporting_period,regulation_period
2014-01-10,,31.0,1067.0774193548389,825.8,404.8,241.2774193548389,587.0,919.0,01.12.2013 — 01.01.2014,22.01.2014 — 24.01.2014
2014-02-10,,28.0,1027.355357142857,846.1,412.3,181.25535714285695,571.0,914.0,01.01.2014 — 01.02.2014,14.02.2014 — 18.02.2014
2014-03-10,,31.0,1050.0274193548385,866.0,439.9,184.02741935483846,562.0,904.0,01.02.2014 — 01.03.2014,17.03.2014 — 19.03.2014
2014-04-10,,30.0,1060.5583333333334,883.4,430.1,177.15833333333342,564.0,898.0,01.03.2014 — 01.04.2014,14.04.2014 — 16.04.2014
2014-05-10,,31.0,1060.4935483870966,894.6,430.3,165.89354838709653,568.0,890.0,01.04.2014 — 01.05.2014,19.05.2014 — 21.05.2014
2014-06-10,,30.0,1078.405,880.7,427.8,197.70499999999993,569.0,886.0,01.05.2014 — 01.06.2014,17.06.2014 — 19.06.2014
2014-07-10,,31.0,1043.0354838709677,877.4,428.6,165.63548387096773,569.0,880.0,01.06.2014 — 01.07.2014,14.07.2014 — 16.07.2014
2014-08-10,,31.0,1003.5967741935484,833.6,446.6,169.9967741935484,564.0,870.0,01.07.2014 — 01.08.2014,14.08.2014 — 18.08.2014
2014-09-10,,30.0,1019.7950000000001,861.1,427.1,158.69500000000005,557.0,865.0,01.08.2014 — 01.09.2014,12.09.2014 — 16.09.2014
2014-10-10,,31.0,1052.0467741935486,871.7,432.7,180.34677419354853,560.0,854.0,01.09.2014 — 01.10.2014,14.10.2014 — 16.10.2014
2014-11-10,,30.0,1094.0883333333334,909.0,451.9,185.08833333333337,559.0,847.0,01.10.2014 — 01.11.2014,18.11.2014 — 20.11.2014
2014-12-10,,31.0,1518.6951612903222,966.9,470.8,551.7951612903222,568.0,839.0,01.11.2014 — 01.12.2014,12.12.2014 — 16.12.2014
2015-01-10,,31.0,1224.9064516129033,1047.1,496.7,177.8064516129034,634.0,832.0,01.12.2014 — 01.01.2015,23.01.2015 — 27.01.2015
2015-02-10,,28.0,1214.5803571428569,1066.7,491.7,147.88035714285684,644.0,828.0,01.01.2015 — 01.02.2015,13.02.2015 — 17.02.2015
2015-03-10,,31.0,1215.8774193548386,1102.8,504.2,113.07741935483864,643.0,826.0,01.02.2015 — 01.03.2015,16.03.2015 — 18.03.2015
2015-04-10,,30.0,1188.9566666666663,1063.3,483.5,125.6566666666663,650.0,817.0,01.03.2015 — 01.04.2015,14.04.2015 — 16.04.2015
2015-05-10,,31.0,1138.9467741935484,1006.2,457.5,132.7467741935484,651.0,810.0,01.04.2015 — 01.05.2015,19.05.2015 — 21.05.2015
2015-06-10,,30.0,1163.0483333333332,1020.6,463.8,142.44833333333315,645.0,803.0,01.05.2015 — 01.06.2015,15.06.2015 — 17.06.2015
2015-07-10,,31.0,1201.9177419354835,1048.4,475.4,153.5177419354834,635.0,790.0,01.06.2015 — 01.07.2015,14.07.2015 — 16.07.2015
2015-08-10,,31.0,1205.0016129032256,1068.6,486.5,136.40161290322567,627.0,778.0,01.07.2015 — 01.08.2015,14.08.2015 — 18.08.2015
2015-09-10,,30.0,1398.0783333333334,1257.2,361.2,140.87833333333333,625.0,771.0,01.08.2015 — 01.09.2015,14.09.2015 — 16.09.2015
2015-10-10,,31.0,1465.532258064516,1320.6,365.3,144.9322580645162,612.0,761.0,01.09.2015 — 01.10.2015,14.10.2015 — 16.10.2015
2015-11-10,,30.0,1423.2816666666663,1290.0,356.9,133.2816666666663,602.0,745.0,01.10.2015 — 01.11.2015,16.11.2015 — 18.11.2015
2015-12-10,,31.0,1665.2806451612905,1318.7,363.4,346.5806451612905,595.0,735.0,01.11.2015 — 01.12.2015,14.12.2015 — 16.12.2015
2016-01-10,,32.0,1529.3824483437495,1367.1,382.3,162.2824483437496,589.0,729.0,01.12.2015 — 01.01.2016,22.01.2016 — 26.01.2016
2016-02-11,,28.0,1581.0142857142855,1416.2,386.3,164.81428571428546,587.0,721.0,01.01.2016 — 01.02.2016,12.02.2016 — 16.02.2016
2016-03-10,,28.0,1566.4357142857139,1439.1,391.1,127.33571428571395,585.0,711.0,01.02.2016 — 01.03.2016,16.03.2016 — 18.03.2016
2016-04-07,,35.0,1514.8114285714291,1380.1,375.3,134.71142857142922,577.0,700.0,01.03.2016 — 01.04.2016,14.04.2016 — 18.04.2016
2016-05-12,,28.0,1562.607142857142,1451.1,394.1,111.50714285714207,568.0,693.0,01.04.2016 — 01.05.2016,18.05.2016 — 20.05.2016
2016-06-09,,28.0,1569.771428571429,1443.0,391.5,126.77142857142894,559.0,686.0,01.05.2016 — 01.06.2016,15.06.2016 — 17.06.2016
2016-07-07,,28.0,1576.6392857142862,1442.6,391.4,134.03928571428628,550.0,676.0,01.06.2016 — 01.07.2016,14.07.2016 — 18.07.2016
2016-08-04,,35.0,1628.0885714285716,1525.5,413.8,102.58857142857164,541.0,663.0,01.07.2016 — 01.08.2016,12.08.2016 — 16.08.2016
2016-09-08,,28.0,1884.5,1760.0,477.6,124.5,531.0,651.0,01.08.2016 — 01.09.2016,14.09.2016 — 16.09.2016
2016-10-06,,35.0,1867.9,1761.4,476.7,106.5,526.0,647.0,01.09.2016 — 01.10.2016,14.10.2016 — 18.10.2016
2016-11-10,,28.0,1852.2,1746.7,475.2,105.5,518.0,638.0,01.10.2016 — 01.11.2016,15.11.2016 — 17.11.2016
2016-12-08,,35.0,1978.8,1765.6,481.9,213.20000000000005,512.0,627.0,01.11.2016 — 01.12.2016,14.12.2016 — 16.12.2016
2017-01-11,,28.0,1858.2,1743.3,478.2,114.90000000000009,508.0,620.0,01.12.2016 — 01.01.2017,20.01.2017 — 24.01.2017
2017-02-08,,28.0,1989.4,1874.4,514.6,115.0,502.0,617.0,2017-01-01 00:00:00,14.02.2017 — 16.02.2017
2017-03-08,,35.0,1971.0,1865.1,507.5,105.90000000000009,499.0,609.0,2017-02-01 00:00:00,15.03.2017 — 17.03.2017
2017-04-12,,28.0,1981.0,1848.1,504.9,132.9000000000001,492.0,605.0,2017-03-01 00:00:00,14.04.2017 — 18.04.2017
