auction_type,term_days,date,Время аукциона,allotment_mlnrub,weighted_avg_rate_pct,Код расчета,bliq_repo_auction_vol,bliq_standing_loans_vol
Репо,1.0,2014-01-09,11:32,974053.7,5.548,S0,2883.3,705.4
Репо,3.0,2014-01-10,11:31,940000.0,5.532,S0,2543.3,702.1
Репо,1.0,2014-01-13,11:37,830000.0,5.5558,S0,2509.4,606.5
Репо,1.0,2014-01-14,11:29,880000.0,5.549,S0,2399.1,602.6
Репо,7.0,2014-01-14,13:33,2230000.0,5.5222,S1,2399.1,602.6
Репо,1.0,2014-01-15,11:26,214630.7,5.6346,S0,2449.1,602.1
Репо,1.0,2014-01-16,11:29,110000.0,5.6191,S0,2489.2,602.2
Репо,3.0,2014-01-17,11:36,90000.0,5.7132,S0,2384.6,602.2
Репо,1.0,2014-01-20,11:31,250000.0,5.6316,S0,2364.5,581.3
Репо,1.0,2014-01-21,11:30,370000.0,5.5547,S0,2524.4,580.8
Репо,7.0,2014-01-21,13:47,2560000.0,5.5183,S1,2524.4,580.8
Репо,1.0,2014-01-22,11:34,10043.4,6.3721,S0,2644.2,581.2
Репо,1.0,2014-01-23,11:40,50330.1,6.1988,S0,2614.9,589.8
Репо,3.0,2014-01-24,11:31,30406.4,6.3551,S0,2654.2,589.5
Репо,1.0,2014-01-27,11:27,225187.4,5.6383,S0,2634.2,588.9
Репо,1.0,2014-01-28,11:29,314929.4,5.5576,S0,2829.0,591.7
Репо,7.0,2014-01-28,13:29,2651396.8,5.5183,S1,2829.0,591.7
Репо,1.0,2014-01-29,11:54,60000.0,6.1203,S0,2918.3,591.9
Репо,1.0,2014-01-30,11:35,10280.6,6.4017,S0,2756.1,586.1
Репо,3.0,2014-01-31,11:30,40000.0,6.3213,S0,2706.3,587.6
Репо,7.0,2014-02-04,13:32,2300000.0,5.5526,S1,2695.4,601.9
Репо,7.0,2014-02-11,13:31,2180000.0,5.5564,S1,2324.5,479.2
Репо,7.0,2014-02-18,13:39,2260000.0,5.5532,S1,2222.6,478.2
Репо,7.0,2014-02-25,13:42,2220000.0,5.5674,S1,2300.2,475.7
Репо,1.0,2014-03-04,11:54,368218.5,7.3351,S0,2258.4,472.7
Репо,7.0,2014-03-04,13:52,2371297.7,7.1631,S1,2258.4,472.7
Репо,7.0,2014-03-11,13:48,2210000.0,7.1358,S1,2407.9,487.0
Репо,3.0,2014-03-14,11:27,90000.0,7.4644,S0,2244.4,487.0
Репо,1.0,2014-03-17,11:38,400000.0,7.0784,S0,2332.9,480.3
Репо,7.0,2014-03-18,13:28,2586556.2,7.0856,S1,2637.4,482.0
Репо,1.0,2014-03-18,11:26,390000.0,7.0654,S0,2637.4,482.0
Репо,1.0,2014-03-24,11:37,120919.4,7.2845,S0,2583.2,368.6
Репо,1.0,2014-03-25,11:43,205799.0,7.0638,S0,2702.5,366.6
Репо,7.0,2014-03-25,13:45,2757265.1,7.0459,S1,2702.5,366.6
Репо,1.0,2014-03-26,11:34,152322.9,7.0779,S0,2785.9,367.3
Репо,1.0,2014-03-27,11:38,200000.0,7.0576,S0,2913.2,370.3
Репо,3.0,2014-03-28,11:30,282625.5,7.0411,S0,2959.8,280.1
Репо,1.0,2014-03-31,11:36,198448.9,7.0733,S0,3041.2,283.5
Репо,1.0,2014-04-01,11:42,210000.0,7.0749,S0,2956.1,367.4
Репо,7.0,2014-04-01,13:41,2868853.8,7.0448,S1,2956.1,367.4
Репо,7.0,2014-04-08,13:29,3010000.0,7.0379,S1,2868.7,369.5
Репо,7.0,2014-04-15,13:30,2800000.0,7.0773,S1,3012.7,290.9
Репо,2.0,2014-04-21,11:39,290000.0,7.105,S0,2802.3,293.5
Репо,7.0,2014-04-22,13:40,3163667.2,7.0446,S1,3091.7,293.9
Репо,2.0,2014-04-28,11:37,118420.0,7.5812,S0,3165.4,299.4
Репо,7.0,2014-04-29,15:03,3148207.7,7.5461,S1,3278.1,299.2
Репо,7.0,2014-05-06,14:28,3286274.6,7.543,S1,3151.7,300.8
Репо,7.0,2014-05-13,13:42,2950000.0,7.5716,S1,3290.1,295.7
Репо,1.0,2014-05-20,11:32,196297.5,7.5984,S0,2951.9,301.5
Репо,7.0,2014-05-20,13:37,3144980.0,7.551,S1,2951.9,301.5
Репо,7.0,2014-05-27,13:41,2773578.3,7.5613,S1,3148.6,295.9
Репо,7.0,2014-06-03,13:38,2366405.6,7.563,S1,2775.5,395.1
Репо,7.0,2014-06-10,13:30,2388484.4,7.5725,S1,2368.1,378.5
Репо,7.0,2014-06-17,13:40,2480000.0,7.5673,S1,2391.6,381.5
Репо,7.0,2014-06-24,13:34,2567174.9,7.5573,S1,2478.8,386.0
Репо,7.0,2014-07-01,13:55,2250000.0,7.5866,S1,2570.7,409.3
Репо,7.0,2014-07-08,13:33,2450000.0,7.5892,S1,2251.6,453.9
Репо,7.0,2014-07-15,13:45,2703206.9,7.5739,S1,2452.3,499.4
Репо,2.0,2014-07-21,11:58,50229.8,7.6443,S0,2702.1,454.6
Репо,1.0,2014-07-22,11:27,115366.1,7.566,S0,2751.3,504.5
Репо,7.0,2014-07-22,13:55,2887954.9,7.5671,S1,2751.3,504.5
Репо,2.0,2014-07-28,11:50,67812.6,8.0671,S0,2891.2,431.5
Репо,7.0,2014-07-29,13:34,2680000.0,8.0838,S1,2957.4,445.8
Репо,7.0,2014-08-05,13:32,2290000.0,8.0831,S1,2680.3,509.5
Репо,7.0,2014-08-12,13:31,2340000.0,8.0904,S1,2279.5,523.0
Репо,7.0,2014-08-19,13:41,2579496.5,8.097,S1,2342.9,600.6
Репо,7.0,2014-08-26,13:33,2410000.0,8.0823,S1,2582.1,578.8
Репо,7.0,2014-09-02,13:36,2100000.0,8.0995,S1,2408.6,670.3
Репо,7.0,2014-09-09,13:36,2250000.0,8.0858,S1,2100.1,663.2
Репо,7.0,2014-09-16,13:41,2150000.0,8.1178,S1,2250.2,725.9
Репо,6.0,2014-09-18,11:37,150000.0,8.3988,S0,2153.4,752.6
Репо,7.0,2014-09-23,13:28,2400000.0,8.1618,S1,2301.4,681.6
Репо,7.0,2014-09-30,13:36,1830000.0,8.3173,S1,2402.7,759.1
Репо,7.0,2014-10-07,13:44,1990000.0,8.1677,S1,1831.8,621.9
Репо,2.0,2014-10-13,11:33,220000.0,8.077,S0,1991.7,611.9
Репо,7.0,2014-10-14,13:38,2380000.0,8.1211,S1,2210.6,685.7
Репо,3.0,2014-10-17,11:38,300000.0,8.1183,S0,2382.0,744.0
Репо,2.0,2014-10-20,11:31,320000.0,8.1284,S0,2681.8,742.5
Репо,7.0,2014-10-21,13:39,2769228.9,8.1338,S1,2701.6,720.9
Репо,2.0,2014-10-27,11:29,120329.0,8.0744,S0,2771.8,678.9
Репо,7.0,2014-10-28,13:32,2881071.3,8.0993,S1,2891.7,684.8
Репо,7.0,2014-10-31,14:03,2850000.0,8.1326,S5,2883.4,787.6
Репо,7.0,2014-11-11,13:46,2695000.0,9.6931,S1,2851.0,614.2
