date,ruonia_rate_pct,volume_blnrub,deals_count,participants_count,min_rate_pct,p25_rate_pct,p75_rate_pct,max_rate_pct,status,publish_date
2014-01-09,5.51,105.45,,,,,,,—,
2014-01-10,5.84,72.94,,,,,,,—,
2014-01-13,6.31,73.21,,,,,,,—,
2014-01-14,5.69,96.95,,,,,,,—,
2014-01-15,5.6,92.55,,,,,,,—,
2014-01-16,5.68,55.8,,,,,,,—,
2014-01-17,5.94,57.3,,,,,,,—,
2014-01-20,6.03,66.26,,,,,,,—,
2014-01-21,6.18,77.37,,,,,,,—,
2014-01-22,6.32,63.9,,,,,,,—,
2014-01-23,6.19,70.59,,,,,,,—,
2014-01-24,6.1,99.13,,,,,,,—,
2014-01-27,6.29,82.74,,,,,,,—,
2014-01-28,6.23,100.7,,,,,,,—,
2014-01-29,6.27,117.49,,,,,,,—,
2014-01-30,6.33,62.03,,,,,,,—,
2014-01-31,6.29,105.3,,,,,,,—,
2014-02-03,6.27,97.47,,,,,,,—,
2014-02-04,6.22,80.08,,,,,,,—,
2014-02-05,5.83,87.36,,,,,,,—,
2014-02-06,5.56,111.73,,,,,,,—,
2014-02-07,4.87,135.38,,,,,,,—,
2014-02-10,5.5,77.4,,,,,,,—,
2014-02-11,6.07,60.42,,,,,,,—,
2014-02-12,5.87,74.17,,,,,,,—,
2014-02-13,5.56,47.1,,,,,,,—,
2014-02-14,5.83,44.0,,,,,,,—,
2014-02-17,6.14,59.96,,,,,,,—,
2014-02-18,6.07,49.55,,,,,,,—,
2014-02-19,6.0,73.33,,,,,,,—,
2014-02-20,6.02,48.65,,,,,,,—,
2014-02-21,6.25,44.58,,,,,,,—,
2014-02-24,5.99,59.33,,,,,,,—,
2014-02-25,6.38,45.22,,,,,,,—,
2014-02-26,6.29,68.1,,,,,,,—,
2014-02-27,6.23,55.78,,,,,,,—,
2014-02-28,6.32,81.2,,,,,,,—,
2014-03-03,7.44,57.63,,,,,,,—,
2014-03-04,7.7,59.89,,,,,,,—,
2014-03-05,7.7,70.46,,,,,,,—,
