date,deficit_total_blnrub,deficit_excl_corr_blnrub,cb_claims_total_blnrub,cb_claims_repo_swap_auction_blnrub,cb_claims_secured_loans_auction_blnrub,cb_claims_repo_swap_standing_blnrub,cb_claims_secured_loans_standing_blnrub,cb_liabilities_total_blnrub,cb_liabilities_deposits_auction_blnrub,cb_liabilities_kobr_blnrub,cb_liabilities_deposits_standing_blnrub,cb_unstandard_blnrub,bank_corraccounts_blnrub,required_avg_blnrub,delta_1d_blnrub,delta_5d_blnrub,delta_22d_blnrub,flag_budget_drain,flag_budget_drain_strong
2014-01-01,3481.8,3957.7,4471.8,2883.4,590.2,292.7,705.4,517.6,0.0,517.6,0.0,3.6,1270.0,794.1,,,,0,0
2014-01-09,3422.4,3957.7,4471.8,2883.3,590.2,292.8,705.4,517.6,0.0,517.6,0.0,3.6,1329.4,794.1,59.40000000000009,,,0,0
2014-01-10,3262.1,3593.5,3839.5,2543.3,590.2,4.0,702.1,249.6,0.0,249.6,0.0,3.6,1125.5,794.1,-203.9000000000001,,,0,0
2014-01-13,3302.5,3571.3,3702.5,2509.4,585.6,1.0,606.5,134.9,0.0,134.9,0.0,3.6,1094.6,825.8,-30.90000000000009,,,0,0
2014-01-14,3328.3,3467.6,3595.4,2399.1,585.5,8.2,602.6,131.4,0.0,131.4,0.0,3.6,965.1,825.8,-129.4999999999999,,,0,0
2014-01-15,3339.9,3704.3,3837.5,2449.1,786.1,0.1,602.1,136.8,0.0,136.8,0.0,3.6,1190.2,825.8,225.10000000000002,-79.79999999999995,,0,0
2014-01-16,3445.1,3750.0,3877.8,2489.2,786.1,0.2,602.2,130.9,0.0,130.9,0.0,3.1,1130.7,825.8,-59.5,-198.70000000000005,,0,0
2014-01-17,3502.8,3656.7,3775.7,2384.6,786.1,2.8,602.2,122.1,0.0,122.1,0.0,3.1,979.7,825.8,-151.0,-145.79999999999995,,0,0
2014-01-20,3503.1,3649.8,3765.1,2364.5,786.1,33.2,581.3,118.5,0.0,118.5,0.0,3.1,972.5,825.8,-7.2000000000000455,-122.09999999999991,,0,0
2014-01-21,3711.6,3793.8,3908.7,2524.4,786.1,17.3,580.8,118.0,0.0,118.0,0.0,3.1,908.0,825.8,-64.5,-57.10000000000002,,0,0
2014-01-22,3676.5,3892.0,4013.7,2644.2,786.1,2.1,581.2,124.8,0.0,124.8,0.0,3.1,1041.3,825.8,133.29999999999995,-148.9000000000001,,0,0
2014-01-23,3621.2,3969.4,4084.3,2614.9,786.1,93.4,589.8,118.0,0.0,118.0,0.0,3.1,1174.0,825.8,132.70000000000005,43.299999999999955,,0,0
2014-01-24,3623.0,3943.9,4058.0,2654.2,786.1,28.2,589.5,117.3,0.0,117.3,0.0,3.1,1146.7,825.8,-27.299999999999955,167.0,,0,0
2014-01-27,3600.0,3923.4,4033.2,2634.2,786.1,23.9,588.9,112.9,0.0,112.9,0.0,3.1,1149.2,825.8,2.5,176.70000000000005,,0,0
2014-01-28,3912.0,4186.8,4298.6,2829.0,786.1,91.7,591.7,114.9,0.0,114.9,0.0,3.1,1100.6,825.8,-48.600000000000136,192.5999999999999,,0,0
2014-01-29,3888.9,4212.9,4325.6,2918.3,786.1,29.2,591.9,115.7,0.0,115.7,0.0,3.1,1149.8,825.8,49.200000000000045,108.5,,0,0
2014-01-30,3843.2,4113.9,4223.4,2756.1,786.1,95.0,586.1,112.6,0.0,112.6,0.0,3.1,1096.5,825.8,-53.299999999999955,-77.5,,0,0
2014-01-31,3860.1,4109.2,4218.1,2706.3,786.1,138.0,587.6,112.0,0.0,112.0,0.0,3.1,1074.9,825.8,-21.59999999999991,-71.79999999999995,,0,0
2014-02-03,3899.1,4215.4,4338.3,2735.9,786.1,221.1,595.3,126.0,0.0,126.0,0.0,3.1,1142.1,825.8,67.19999999999982,-7.100000000000136,,0,0
2014-02-04,3803.9,4121.9,4177.5,2695.4,786.1,94.2,601.9,58.7,0.0,58.7,0.0,3.1,1143.8,825.8,1.7000000000000455,43.200000000000045,,0,0
2014-02-05,3673.8,4063.3,4122.8,2694.5,786.1,47.5,594.7,62.6,0.0,62.6,0.0,3.1,1215.3,825.8,71.5,65.5,,0,0
2014-02-06,3599.4,3667.5,3728.0,2344.7,786.1,4.7,592.6,63.6,0.0,63.6,0.0,3.1,893.9,825.8,-321.4,-202.60000000000002,,1,0
2014-02-07,3478.1,3581.5,3646.5,2324.7,786.1,6.3,529.4,68.1,0.0,68.1,0.0,3.1,929.2,825.8,35.30000000000007,-145.70000000000005,-340.79999999999995,0,0
2014-02-10,3386.7,3481.6,3593.5,2324.5,786.1,4.0,479.0,115.0,0.0,115.0,0.0,3.1,920.7,825.8,-8.5,-221.39999999999986,-408.70000000000005,0,0
2014-02-11,3379.7,3585.8,3655.4,2324.5,786.1,65.7,479.2,72.7,0.0,72.7,0.0,3.1,1052.2,846.1,131.5,-91.59999999999991,-73.29999999999995,0,0
2014-02-12,3344.1,3528.7,3594.5,2324.1,786.1,5.3,479.1,68.9,0.0,68.9,0.0,3.1,1030.7,846.1,-21.5,-184.5999999999999,-63.899999999999864,0,0
2014-02-13,3302.2,3625.5,3691.4,2222.8,986.1,3.3,479.1,69.0,0.0,69.0,0.0,3.1,1169.4,846.1,138.70000000000005,275.5000000000001,204.30000000000007,0,0
2014-02-14,3364.4,3615.5,3692.1,2222.6,986.1,4.0,479.4,79.7,0.0,79.7,0.0,3.1,1097.2,846.1,-72.20000000000005,168.0,-93.0,0,0
2014-02-17,3432.2,3623.6,3690.5,2222.6,986.1,3.8,478.0,70.0,0.0,70.0,0.0,3.1,1037.5,846.1,-59.700000000000045,116.79999999999995,-93.20000000000005,0,0
2014-02-18,3480.5,3625.9,3691.8,2222.6,986.1,4.9,478.2,68.9,0.0,68.9,0.0,3.1,991.5,846.1,-46.0,-60.700000000000045,11.799999999999955,0,0
2014-02-19,3476.9,3621.4,3693.6,2222.5,986.1,7.1,477.9,75.2,0.0,75.2,0.0,3.1,990.6,846.1,-0.8999999999999773,-40.10000000000002,18.100000000000023,0,0
2014-02-20,3523.3,3733.8,3801.8,2301.7,986.1,38.9,475.1,71.1,0.0,71.1,0.0,3.1,1056.6,846.1,65.99999999999989,-112.80000000000018,148.5999999999999,0,0
2014-02-21,3619.5,3752.0,3819.7,2300.4,985.8,58.4,475.2,70.7,0.0,70.7,0.0,3.1,978.6,846.1,-77.99999999999989,-118.60000000000002,-62.69999999999993,0,0
2014-02-24,3521.5,3727.3,3785.7,2300.4,985.8,24.1,475.4,61.5,0.0,61.5,0.0,3.1,1051.9,846.1,73.30000000000007,14.400000000000091,-122.09999999999991,0,0
2014-02-25,3577.8,3774.8,3838.1,2300.2,985.8,76.4,475.7,66.4,0.0,66.4,0.0,3.1,1043.1,846.1,-8.800000000000182,51.59999999999991,-103.60000000000014,0,0
2014-02-26,3770.3,3838.7,3900.2,2299.6,985.8,139.1,475.7,64.6,0.0,64.6,0.0,3.1,914.5,846.1,-128.5999999999999,-76.10000000000002,-234.70000000000005,0,0
