date_raw,n_documents,documents,page,date
11 декабря 2025 00:00,8,https://roskazna.gov.ru/storage/operation-day-files/20251211_183456575.docx;https://roskazna.gov.ru/storage/operation-day-files/20251222_114558324.XML;https://roskazna.gov.ru/storage/operation-day-files/20251211_183456269.docx;https://roskazna.gov.ru/storage/operation-day-files/20251222_114726820.XML;https://roskazna.gov.ru/storage/operation-day-files/20251211_185811374.docx;https://roskazna.gov.ru/storage/operation-day-files/20251222_114618148.XML;https://roskazna.gov.ru/storage/operation-day-files/20251211_183456950.docx;https://roskazna.gov.ru/storage/operation-day-files/20251222_114547916.XML,10,2025-12-11
12 декабря 2025 00:00,8,https://roskazna.gov.ru/storage/operation-day-files/20251212_172153987.docx;https://roskazna.gov.ru/storage/operation-day-files/20251222_114416167.XML;https://roskazna.gov.ru/storage/operation-day-files/20251212_172153565.docx;https://roskazna.gov.ru/storage/operation-day-files/20251222_114332824.XML;https://roskazna.gov.ru/storage/operation-day-files/20251212_172153139.docx;https://roskazna.gov.ru/storage/operation-day-files/20251222_114358859.XML;https://roskazna.gov.ru/storage/operation-day-files/20251212_172153987.docx;https://roskazna.gov.ru/storage/operation-day-files/20251222_114347812.XML,10,2025-12-12
15 декабря 2025 00:00,6,https://roskazna.gov.ru/storage/operation-day-files/20251215_175637994.docx;https://roskazna.gov.ru/storage/operation-day-files/20251222_114136628.XML;https://roskazna.gov.ru/storage/operation-day-files/20251215_174730367.docx;https://roskazna.gov.ru/storage/operation-day-files/20251222_114123385.XML;https://roskazna.gov.ru/storage/operation-day-files/20251215_174730538.docx;https://roskazna.gov.ru/storage/operation-day-files/20251222_114148765.XML,10,2025-12-15
16 декабря 2025 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20251216_174245721.docx;https://roskazna.gov.ru/storage/operation-day-files/20251222_113934625.xml,10,2025-12-16
17 декабря 2025 00:00,4,https://roskazna.gov.ru/storage/operation-day-files/20251217_173855816.docx;https://roskazna.gov.ru/storage/operation-day-files/20251222_154904263.XML;https://roskazna.gov.ru/storage/operation-day-files/20251217_173855564.docx;https://roskazna.gov.ru/storage/operation-day-files/20251222_154904625.XML,10,2025-12-17
18 декабря 2025 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20251218_174703843.docx;https://roskazna.gov.ru/storage/operation-day-files/20251222_113713776.xml,10,2025-12-18
19 декабря 2025 00:00,4,https://roskazna.gov.ru/storage/operation-day-files/20251219_174019652.docx;https://roskazna.gov.ru/storage/operation-day-files/20251219_174009772.XML;https://roskazna.gov.ru/storage/operation-day-files/20251219_174029868.docx;https://roskazna.gov.ru/storage/operation-day-files/20251219_174014715.XML,10,2025-12-19
22 декабря 2025 00:00,6,https://roskazna.gov.ru/storage/operation-day-files/20251222_175418782.docx;https://roskazna.gov.ru/storage/operation-day-files/20251222_175418773.XML;https://roskazna.gov.ru/storage/operation-day-files/20251222_175418124.docx;https://roskazna.gov.ru/storage/operation-day-files/20251222_175418991.XML;https://roskazna.gov.ru/storage/operation-day-files/20251222_175418159.docx;https://roskazna.gov.ru/storage/operation-day-files/20251222_175418167.XML,10,2025-12-22
23 декабря 2025 00:00,4,https://roskazna.gov.ru/storage/operation-day-files/20251223_174826873.docx;https://roskazna.gov.ru/storage/operation-day-files/20251223_174826422.XML;https://roskazna.gov.ru/storage/operation-day-files/20251223_174826998.docx;https://roskazna.gov.ru/storage/operation-day-files/20251223_174826218.XML,10,2025-12-23
24 декабря 2025 00:00,6,https://roskazna.gov.ru/storage/operation-day-files/20251224_175807664.docx;https://roskazna.gov.ru/storage/operation-day-files/20251224_175802820.XML;https://roskazna.gov.ru/storage/operation-day-files/20251224_175807554.docx;https://roskazna.gov.ru/storage/operation-day-files/20251224_175807112.XML;https://roskazna.gov.ru/storage/operation-day-files/20251224_175807999.docx;https://roskazna.gov.ru/storage/operation-day-files/20251224_175807992.XML,10,2025-12-24
25 декабря 2025 00:00,6,https://roskazna.gov.ru/storage/operation-day-files/20251225_185319966.docx;https://roskazna.gov.ru/storage/operation-day-files/20251225_185319618.XML;https://roskazna.gov.ru/storage/operation-day-files/20251225_185708731.docx;https://roskazna.gov.ru/storage/operation-day-files/20260112_152741651.XML;https://roskazna.gov.ru/storage/operation-day-files/20251225_185319199.docx;https://roskazna.gov.ru/storage/operation-day-files/20251225_185319892.XML,9,2025-12-25
