name,n,n_missing_pct,min,p01,p25,median,mean,p75,p95,p99,p99_9,max,std,skew,ex_kurt,tail_ratio_p99_p50,tail_ratio_p99_9_p99,hill_alpha_top50,frac_zero
m1_rreserves.actual_balances_blnrub,148,0.0,1003.5967741935484,1023.3483678571428,1760.7,2415.5,2777.0195798206273,3423.15,5246.545,5437.456999999999,5450.3474,5451.2,1368.3328008504795,0.697912654018005,-0.7984079972257652,2.2510689298281927,1.002370667023206,2.451736788524756,0.0
m1_rreserves.required_avg_blnrub,149,0.0,825.8,839.6,1631.2,2324.4,2680.5147651006714,3547.9,5183.92,5314.924,5338.2484,5342.2,1399.2927250297057,0.6361758110083899,-0.8626139779514004,2.286578902082258,1.004388472911372,2.3725875505257212,0.0
m1_rreserves.spread_blnrub,148,0.0,2.599999999999909,45.200000000000244,73.40000000000009,100.69999999999982,114.07160684765411,135.27540322580649,207.25674999999984,356.34290322580654,524.3362725806464,551.7951612903222,64.35025428563897,3.079856895896467,15.824048586213205,3.538658423295007,1.471437393123517,3.5600419797081417,0.0
m1_rreserves.banks_with_avg_right,149,0.0,320.0,322.0,355.0,381.0,431.46308724832215,502.0,626.2,647.6,650.852,651.0,98.25728248162966,0.8170515172219374,-0.7384259172642027,1.699737532808399,1.0050216182828906,5.524701575723935,0.0
m1_rreserves.banks_active,149,0.0,347.0,348.48,361.0,436.0,508.10738255033556,617.0,868.0,909.2,918.26,919.0,176.6193471748807,0.953248113466082,-0.423625147622841,2.0853211009174313,1.0099648042234932,3.6465567899596745,0.0
m1_ruonia.ruonia_rate_pct,3042,0.0,3.28,4.0441,7.11,8.455,10.320394477317555,14.0075,20.368499999999994,21.4,23.307519999999784,28.65,4.634898562519946,0.8564238261308736,-0.23546037418273302,2.5310467179183913,1.0891364485981208,36.600230100918374,0.0
m1_ruonia.volume_blnrub,3025,0.0,7.65,37.814,100.75,151.0,229.04999338842975,321.41,610.31,826.5251999999995,992.0157600000019,1073.1,185.24122059236055,1.468316071886125,1.6687906273779163,5.47367682119205,1.200224457766082,9.326562398898755,0.0
m2_keyrate.key_rate_pct,3107,0.0,4.25,4.25,7.5,8.5,10.429111683295783,14.0,20.0,21.0,21.0,21.0,4.645894591756205,0.8410387397156625,-0.36118968209703217,2.4705882352941178,1.0,,0.0
m2_repo_auctions.allotment_mlnrub,402,0.0,0.0,0.0,150000.0,687359.3,1118940.0199004977,1958802.6749999998,3267999.9999999995,4479300.000000001,4747919.999999999,4780000.0,1170291.269740285,1.076369714894219,0.26876930690852197,6.516679122549154,1.0599691916147609,4.95875417256791,0.03980099502487562
m2_repo_auctions.weighted_avg_rate_pct,386,0.0,4.35,4.350085,7.6,11.69945,12.246147409326424,16.51945,21.100075,21.307534999999998,21.514491,21.5235,5.132321196035862,0.29298402434380927,-1.2007192417496544,1.821242451568236,1.0097128081685658,35.875633466259025,0.0
m3_ofz_auctions.demand_volume_mlnrub,949,0.0,188.79049392,3249.39414,23212.206,41703.299,73093.49535117162,76240.07,225033.4324,421189.7389599994,1841509.2130640005,1866476.909,131086.10049781893,8.83268027526739,102.88268081730392,10.099674343749147,4.372160674215498,2.312783478955652,0.0
m3_ofz_auctions.allotment_volume_mlnrub,1028,0.0,0.0,0.0,9620.98475,17304.6065,34949.10268825071,34846.0055,100608.77129999998,305528.7878100003,996398.2334539946,999999.999,76735.94914587277,8.425714419701531,87.89677078367824,17.65592230080472,3.2612253679794865,1.4162589569995827,0.042801556420233464
m3_ofz_auctions.cover_ratio,911,0.0,1.0019016682382038,1.0892648629103596,1.5725461533682736,2.0555504188171554,2.5943349831648708,2.96956651867957,5.054204936930073,10.98306562732044,20.808718483660364,39.01282394789584,2.1434443958244187,7.665939458291549,101.78595908665844,5.343126360111628,1.8946184234662637,2.098133414326584,0.0
m3_ofz_auctions.bid_to_offer_ratio,949,0.0,0.0010368448866102,0.019631368887754387,0.3232623647739788,1.0625618,31.636577263156564,2.2344381333333327,3.710534119999999,4.806274402735836,1502.7193180749998,28691.713,931.327692571191,30.805757519567653,948.996460370097,4.523289283254712,312.65782852922825,2.702436620509596,0.0
m3_ofz_auctions.weighted_avg_yield_pct,920,0.0,0.0,2.49,7.399999999999999,9.42,10.079934782608694,13.985000000000001,16.162,17.350499999999997,17.629660000000015,18.42,3.909089571722093,0.007973503134637029,-0.8593272077064853,1.8418789808917193,1.0160894498717628,23.92916553632304,0.003260869565217391
m4_tax_flags_daily.events_count,4533,0.0,0.0,0.0,0.0,0.0,0.22457533642179572,0.0,1.0,2.0,2.0,2.0,0.4449833905888606,1.7188489324188794,1.9266883527309275,,1.0,,0.7873373042135451
m4_tax_flags_daily.flag_tax_peak_15,4533,0.0,0.0,0.0,0.0,0.0,0.1314802559011692,0.0,1.0,1.0,1.0,1.0,0.33796212109690016,2.1817972314021272,2.761457343955744,,1.0,,0.8685197440988308
m4_tax_flags_daily.flag_tax_peak_20,4533,0.0,0.0,0.0,0.0,0.0,0.1643503198764615,0.0,1.0,1.0,1.0,1.0,0.37063404670661215,1.8120182973252876,1.283976617115317,,1.0,,0.8356496801235385
m4_tax_flags_daily.flag_tax_peak_25,4533,0.0,0.0,0.0,0.0,0.0,0.0986101919258769,0.0,1.0,1.0,1.0,1.0,0.2981708151338795,2.6935364738876557,5.257458179085983,,1.0,,0.9013898080741231
m4_tax_flags_daily.flag_tax_peak_28,4533,0.0,0.0,0.0,0.0,0.0,0.1314802559011692,0.0,1.0,1.0,1.0,1.0,0.3379621210969001,2.181797231402128,2.761457343955744,,1.0,,0.8685197440988308
m4_tax_flags_daily.flag_end_of_month,4533,0.0,0.0,0.0,0.0,0.0,0.11250827266710788,0.0,1.0,1.0,1.0,1.0,0.31602562158709385,2.453362899211225,4.02076331730086,,1.0,,0.8874917273328922
m4_tax_flags_daily.flag_quarter_end,4533,0.0,0.0,0.0,0.0,0.0,0.037943966468122654,0.0,0.0,1.0,1.0,1.0,0.1910818584997631,4.83834509866318,21.41903336838732,,1.0,,0.9620560335318773
m4_tax_flags_daily.flag_year_end,4533,0.0,0.0,0.0,0.0,0.0,0.018530774321641297,0.0,0.0,1.0,1.0,1.0,0.1348754900940392,7.142613496680017,49.03856362167579,,1.0,,0.9814692256783587
m4_tax_flags_daily.flag_has_event,4533,0.0,0.0,0.0,0.0,0.0,0.2126626957864549,0.0,1.0,1.0,1.0,1.0,0.409236141080356,1.404881471091201,-0.02631985945059423,,1.0,,0.7873373042135451
m5_bliquidity.deficit_total_blnrub,3110,0.0,-4460.1,-4094.4159999999997,-2017.6999999999998,-889.4000000000001,-357.97768488745976,477.625,4814.16,5861.03,6972.965000000002,7014.3,2521.1955604349073,0.8808699278603934,0.0752327051234487,-6.589869574994378,1.1897166538987178,13.142569379866751,0.0
m5_bliquidity.cb_claims_total_blnrub,3110,0.0,5.1,5.1,114.1,1159.3,1820.8751125401927,3171.475,5366.914999999999,7122.341999999981,9091.946500000016,9817.0,1940.0231671191605,0.979061295401196,0.022789209587322112,6.143657379453103,1.2765388828562347,5.777185315695009,0.0
m5_bliquidity.cb_liabilities_total_blnrub,3110,0.0,52.4,70.709,699.125,2696.35,2351.859742765273,3481.925,4524.455,6326.20299999998,7396.685500000003,7751.9,1537.5431591763345,0.08985158046258325,-0.593340796873087,2.3462098763142696,1.169214060946199,8.660458261175823,0.0
m5_bliquidity.delta_1d_blnrub,3109,0.0,-7857.9,-1326.48,-145.39999999999998,1.599999999999909,1.3256995818591215,128.5999999999999,611.2999999999988,1867.0920000000003,5372.791999999707,8488.1,591.3755751035234,1.1380032155422517,60.61053302139853,1166.9325000000665,2.8776257409917165,1.9454175685110404,0.0009649404953361209
m5_bliquidity.delta_5d_blnrub,3105,0.0,-9045.3,-2324.9960000000005,-343.20000000000005,-0.8000000000001819,6.691336553945251,316.0,1289.5599999999997,2540.9160000000015,6947.263200000003,8403.8,933.2831949056772,-0.03837383549221574,21.52539465371957,-3176.1449999992797,2.734156973311986,2.5435720661482133,0.0
m5_bliquidity.delta_22d_blnrub,3088,0.0,-8246.699999999999,-2638.999,-298.04999999999995,28.399999999999977,31.342551813471502,355.04999999999995,1384.9249999999988,2614.624000000003,6512.1784000000125,8436.4,935.0193839594347,-0.0345016107267352,16.001679933701986,92.06422535211286,2.4906749115742857,2.6222789653513456,0.0
